,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
65,The Ice Twins,by S. K. Tremayne,3.7,11.0,000745922X,210.0
66,How To Keep A Secret: A fantastic and brilliant feel-good summer read that you...,by Sarah Morgan - Import,5.0,1.0,1848457162,259.0
67,Pharaoh,by Wilbur Smith,3.5,27.0,0007535848,280.0
68,The Man Who Mistook His Wife For A Hat: And Other Clinical Tales,by Oliver Sacks,4.3,35.0,0684853949,590.0
69,100 LITTLE RHYMES for TEACHING YOUR CHILD TO READ ~~ KID-FRIENDLY KINDERGARTEN...,by Marilynn Anderson,4.5,2.0,B005S33PV0,195.0
70,Dumb Witness (Poirot),by Agatha Christie,4.3,38.0,0008129568,217.0
71,Thanks for the Memories,by Cecelia Ahern,3.9,16.0,0007233698,100.0
72,Mog’s Christmas,by Judith Kerr,5.0,2.0,0007347057,389.0
73,Dare to Dream: Life as One Direction (100% official),by One Direction,5.0,8.0,0007444397,1.0
74,Listen to the Moon,by Michael Morpurgo,5.0,2.0,0008124469,332.0
75,The Handmaid's Tale: A Novel,by Margaret Atwood,4.3,97.0,038549081X,705.0
76,Level 1 Sight Words - 100 Sentences with 50 Word Flash Cards! (Easy Peasy Reading...,by Chris DiPaolo,3.8,5.0,B00BA2FAJS,175.0
77,The Power Broker: Robert Moses and the Fall of New York (Urban studies & biography),by Robert A. Caro,4.7,345.0,0394720245,734.0
78,Twelve Days of Christmas,by Trisha Ashley,4.3,168.0,1847561152,155.0
79,1984 (Signet Classics),by George Orwell,4.4,743.0,0451524934,329.0
80,100 Things to Know Before You Grow Up (100 Things To),by Lisa M. Gerry,4.4,5.0,1426323166,491.0
81,100 Books To Read Before The Four Last Things: The Essential Guide to Catholic...,by Marie George,4.6,3.0,B06Y23TVPD,449.0
82,The Hypnotist,by Lars Kepler,4.0,51.0,0007444346,399.0
83,The Screwtape Letters: Letters from a Senior to a Junior Devil (C. S. Lewis Signature...,by C. S. Lewis,5.0,11.0,0007461240,756.0
84,The Mirror Crack’d from Side to Side (Miss Marple),by Agatha Christie,4.6,26.0,0008196591,194.0
86,The Tale of Two Bad Mice (Peter Rabbit),by Beatrix Potter,5.0,1.0,0723247749,211.0
87,100 Books to Read Before You Cry,by Daniel Blue,,,B0193YSB0O,234.0
88,They Do It with Mirrors (Miss Marple),by Agatha Christie,4.3,13.0,0008196567,217.0
89,We Were On a Break,by Lindsey Kelk,4.0,3.0,0007582412,182.0
90,The Tale of Pigling Bland (Peter Rabbit),by Beatrix Potter,4.3,12.0,0723247846,163.0
91,Little Black Book,by Otegha Uwagba,4.0,1.0,0008245118,1.0
92,The Book of Love,by Fionnuala Kearney - Import,4.6,3.0,0008221332,539.0
93,100 Books To Read and Own,by Djehuty Maat'Ra,,,B00GNKLR30,220.0
94,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,by J. D. Vance,4.9,13.0,0008220565,581.0
95,Goodnight Moon Board Book,by Margaret Wise Brown,3.9,190.0,0694003611,305.0
97,The World of David Walliams Book of Stuff,by David Walliams,5.0,1.0,0008293252,279.0
99,"Funny Jokes For Silly Kids: Best 100 Funny Clean Jokes For Kids,laugh,fun jokes...",by knock joker,,,B078Y94QRS,191.0
100,"Love, Rosie (Where Rainbows End)",by Cecelia Ahern - Import,4.1,41.0,0007538391,217.0
101,My Side of the Mountain (Puffin Modern Classics),by Jean Craighead George,5.0,2.0,0142401110,974.0
102,The Gift,by Cecelia Ahern - Import,4.3,9.0,000824944X,143.0
103,There’s a Snake in My School!,by David Walliams - Import,,,0008172714,359.0
104,Creature Comforts,by Trisha Ashley,5.0,1.0,1847562795,157.0
105,Paddington Little Library,by Michael Bond,2.4,3.0,0008195803,230.0
106,Once in a Lifetime,by Cathy Kelly,3.8,37.0,0007240430,195.0
107,Miss Marple and Mystery: The Complete Short Stories,by Agatha Christie,4.3,20.0,0007284187,699.0
108,Nujeen: One Girl’s Incredible Journey from War-Torn Syria in a Wheelchair,by Nujeen Mustafa,4.6,6.0,0008226334,186.0
110,All Out War: The Full Story of How Brexit Sank Britain’s Political Class,by Tim Shipman,5.0,9.0,0008215170,389.0
111,The Fifth to Die (A Detective Porter novel),by J.D. Barker,3.0,1.0,0008250383,404.0
112,The Amazing Story of Adolphus Tips,by Michael Morpurgo,5.0,1.0,0007182465,207.0
113,The Little Café in Copenhagen: Fall in love and escape the winter blues with...,by Julie Caplin - Import,4.0,4.0,0008259747,359.0
114,In the Cold Dark Ground (Logan McRae),by Stuart MacBride,4.4,92.0,0008171351,421.0
115,Out of Africa (Modern Library 100 Best Nonfiction Books),by Isak Dinesen,3.5,5.0,0679600213,619.0
116,A Place Called Here,by Cecelia Ahern,3.6,14.0,0007300808,255.0
117,100 Super Sight Word Poems: Easy-to-Read Reproducible Poems That Target & Teach...,by Rosalie Franzese,4.6,32.0,0545238307,1.0
118,If You Go Down to the Woods: A powerful and gripping debut thriller which will...,by Seth C. Adams - Import,5.0,1.0,0008280258,319.0
119,A Very Accidental Love Story,by Claudia Carroll,4.0,19.0,1847562728,220.0
120,What Vegans Eat: A cookbook for everyone with over 100 delicious recipes. Recommended...,by Brett Cobley - Import,,,0008320799,1.0
121,Miracle on 5th Avenue (From Manhattan with Love),by Sarah Morgan,4.5,146.0,184845502X,249.0
122,In Cold Blood (Vintage International),by Truman Capote,4.2,38.0,B000FC1IRM,190.0
123,The Dancing Bear (Young Lion Storybook S),by Michael Morpurgo,4.5,2.0,0006745113,323.0
124,I Just Want To Read Books & Hang With My Dog Printed T-Shirt,by MOPIXIE,,,B075JHCDSW,819.0
125,The Girl Who Lied,by Sue Fortin,1.5,2.0,0008194858,320.0
126,Problem at Pollensa Bay,by Agatha Christie,4.0,5.0,0008196451,268.0
128,Behind Closed Doors: The Gripping Debut Thriller Everyone is Raving About,by B A Paris,4.1,67.0,B013L2OBEE,260.0
129,Summer Desserts,by Nora Roberts,3.9,343.0,0263931382,350.0
130,Always the Bridesmaid,by Lindsey Kelk,4.5,5.0,0007582331,233.0
132,The Looming Tower: Al Qaeda and the Road to 9/11,by Lawrence Wright,4.4,17.0,1400030846,750.0
133,It’s a Wonderful Life: The Christmas bestseller is back with an unforgettable...,by Julia Williams - Import,3.6,3.0,1847563600,244.0
134,Toast: The Story of a Boy's Hunger,by Nigel Slater,5.0,1.0,1841154717,225.0
136,Revenge Wears Prada: The Devil Returns,by Lauren Weisberger,3.0,16.0,0007525052,185.0
137,Dangerous to Know,by Barbara Taylor Bradford,4.0,1.0,0586217398,422.0
138,"Batman, Batman in Black Adult Comfy Throw with Sleeves, 48 x 71""""",by Northwest,4.6,706.0,B007RHGRVU,2.0
139,The Secret Wife,by Gill Paul,4.1,2.0,0008102147,1.0
140,"Marie Ben Passport to The Book 100""""",by Marie Ben,,,B01EKONKQW,2.0
141,The Magic Of Christmas,by Nora Roberts - Import,5.0,1.0,026326727X,259.0
142,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication...",by John Gray,4.4,427.0,B006UN3K4O,89.0
143,The Tale of Johnny Town-mouse (Peter Rabbit),by Beatrix Potter,4.3,20.0,072324782X,225.0
144,Bought To Wear The Billionaire's Ring (Modern),by Cathy Williams,2.0,1.0,0263923940,134.0
146,The Lies We Told,by Camilla Way - Import,4.3,122.0,0008159092,682.0
147,The Yak Pack: Sight Word Comics: Book 5: Comic Books to Practice Reading Dolch...,by Rumack Resources - Import,,,0995958785,629.0
148,The Wind-Up Bird Chronicle: A Novel (Vintage International),by Haruki Murakami,4.2,32.0,0679775439,871.0
150,The Singles Game,by Lauren Weisberger,3.2,6.0,0007569246,299.0
152,The Things They Carried,by Tim O'Brien,4.0,1.0,0618706410,1.0
154,The Other Us,by Fiona Harper,4.8,11.0,0008216924,306.0
155,MLB Adult Full Body Player Design Comfy Throw with Sleeves,by Northwest,4.2,29.0,B0098HLHKI,5.0
156,Force 10 from Navarone,by Alistair MacLean,4.8,6.0,B004JHYTHU,129.0
157,Dancing Leaf Fennel Green Tea Tin Filled with Great Taste (25 Tea Temples/Tea...,by Dancing Leaf,3.9,2.0,B079RFK2WC,500.0
158,The Tiger Who Came to Tea/Mog the Forgetful Cat,by Judith Kerr,5.0,2.0,000814401X,1.0
159,Zaptin Pack of Two Flexible Cell Phone Holder Silicone Car Mount for Mobile Phones...,by Zaptin,,,B07MWHNKZ7,299.0
160,"The Everything Easy Large-Print Word Search Book, Volume 7: More Than 100 New...",by Charles Timmerman,5.0,2.0,1440597804,719.0
161,How to Bond with your Child through Books: One Family's Plan to Read 100 Books...,by Galynne Matichuk,5.0,3.0,B00Z4T4ZN0,225.0
162,LAVENSA 2-Pack Pure Mulberry Silk Eye Mask For Sleeping With Adjustable Strap...,by LAVENSA,,,B07C7Y7BCY,5.0
163,The Man Who Created the Middle East,by Christopher Simon Sykes - Import,4.2,3.0,0008121931,542.0
164,ZHJZ Metal Maple Leaf Bookmark,by ZHJZ,,,B078KDT2P8,888.0
165,ACK Comic Suppandi Coaster Set,by Eco Corner,,,B075Q9JXDV,750.0
166,Half of a Yellow Sun,by Chimamanda Ngozi Adichie,4.7,41.0,0007272375,450.0
167,Long U Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,5.0,1.0,B00OIQVGPK,57.0
168,Just Before I Died: The gripping new psychological thriller from the bestselling...,by S. K. Tremayne - Import,1.0,1.0,0008306796,318.0
169,One in a Million: The No.1 bestseller and the perfect romance for spring 2019,by Lindsey Kelk - Import,5.0,2.0,0007582455,684.0
170,The Giver (Giver Quartet),by Lois Lowry,4.4,50.0,0544336267,665.0
171,The Tale of the Flopsy Bunnies (Peter Rabbit),by Beatrix Potter,5.0,1.0,072324779X,163.0
172,Bring Me Back: The gripping Sunday Times bestseller now with an explosive new...,by B A Paris,4.0,9.0,B074579WC5,235.0
173,"While You Sleep: A chilling, unputdownable psychological thriller that will send...",by Stephanie Merritt - Import,4.0,21.0,0008248214,539.0
174,The Book of You,by Claire Kendal - Import,4.0,1.0,0007531672,248.0
176,They Came to Baghdad,by Agatha Christie,4.0,8.0,0008196354,225.0
177,Silent Spring,by Edward O Wilson - Unabridged,3.8,32.0,0618249060,1.0
178,"Ambesonne Book Duvet Cover Set Queen Size, Drink Good Coffee Read Good Books...",by Ambesonne,,,B0787K417W,29.0
179,When the Lights Go Out,by Mary Kubica,2.5,2.0,1848457685,240.0
180,Cool!,by Michael Morpurgo,5.0,3.0,0007131046,235.0
181,Black's Correct Chords to 100 Standards - Book 2,by Anon - Import,5.0,1.0,1446522482,599.0
183,The Tale of Mr. Jeremy Fisher (Peter Rabbit),by Beatrix Potter,4.0,33.0,0723247765,225.0
184,Ghost: 100 Stories to Read with the Lights On,by Louise Welsh - Import,2.0,1.0,1784080179,996.0
185,Wombat Goes Walkabout,by Michael Morpurgo,4.5,4.0,0006646271,230.0
186,The Ant Thief (Picture Book for Kids) (Read Aloud Book) (Good Values) (Book for...,by Gita V. Reddy,4.3,37.0,B01HJFK7JM,130.0
187,Guys and Dolls: and Other Stories (Penguin Modern Classics),by Damon Runyon,5.0,2.0,0141188332,330.0
188,Unfinished Business: the classic story from the queen of romance that you won...,by Nora Roberts,4.6,2.0,B006LAOKLI,118.0
189,Depraved Heart (Pb a Om),by Patricia Cornwell,4.6,3.0,0008144133,315.0
190,The Immortal Life of Henrietta Lacks,by Rebecca Skloot,4.3,34.0,1400052181,1.0
191,Middlesex (Oprah's Book Club),by Jeffrey Eugenides,4.6,3.0,0312427735,1.0
192,Stand By Me: The uplifting and heartbreaking best seller you need to read this...,by S.D. Robertson - Import,3.0,1.0,0008223459,259.0
193,"100 Books You Must Read Before You Die - volume 2 [newly updated] [Ulysses, Moby...",by Mark Twain,,,B06XCKZYZM,51.0
194,The Missing,by C.L. Taylor,2.6,3.0,0008118051,290.0
195,A Little Friendly Advice,by Siobhan Vivian,4.1,18.0,1848456964,217.0
196,A Strong Hand to Hold,by Anne Bennett - Import,4.7,9.0,0007547765,128.0
197,The Good Daughter: The gripping new bestselling thriller from a No. 1 author,by Karin Slaughter,3.3,15.0,B01NBVJDU8,245.0
198,"Bad Pharma: How Medicine is Broken, and How We Can Fix It",by Ben Goldacre,4.7,9.0,000749808X,843.0
199,Team of Rivals: The Political Genius of Abraham Lincoln,by Doris Kearns Goodwin,4.5,28.0,0743270754,1.0
201,The Man Between: The gripping new spy thriller you need to read in 2018,by Charles Cumming,4.1,13.0,B0787DF2T9,369.0
202,Doctor Who and the Krikkitmen,by Douglas Adams - Import,3.8,13.0,1785941054,468.0
203,"Stars: Hidden Star (Stars of Mithra, Book 1) / Captive Star (Stars of Mithra,...",by Nora Roberts,5.0,1.0,0263890139,246.0
204,Faster than Lightning: My Autobiography,by Usain Bolt,4.6,91.0,B00C4IQMPI,184.0
205,A Ring For The Greek's Baby (One Night With Consequences),by Melanie Milburne,5.0,1.0,0263924599,135.0
206,Little Women (Penguin Cloth Bound Classics),by Louisa May Alcott,4.3,136.0,0141192410,624.0
207,Alone on a Wide Wide Sea,by Michael Morpurgo,5.0,2.0,0007312040,189.0
208,The Goodbye Gift,by Amanda Brooke,3.0,1.0,0008116520,145.0
209,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",by Laura Hillenbrand,4.7,40.0,0812974492,775.0
210,The Marble Collector,by Cecelia Ahern,4.0,18.0,0007501846,153.0
211,Mistress Bought and Paid For (Mills & Boon Modern) (Mistress to a Millionaire...,by Lynne Graham,3.2,13.0,B0068WHAWA,121.0
212,A Part of Me and You,by Emma Heatherington - Import,4.8,42.0,0008281254,350.0
213,"Prince Caspian (The Chronicles of Narnia, Book 4)",by C. S. Lewis - Import,4.7,14.0,0006716644,168.0
214,Holiday In The Hamptons (From Manhattan With Love 5),by Sarah Morgan - Import,4.0,2.0,1848456662,264.0
215,No Turning Back,by Tracy Buchanan,4.0,69.0,0008175136,251.0
216,The Tale of Ginger and Pickles (Peter Rabbit),by Beatrix Potter,2.0,1.0,0723247870,223.0
217,Long A Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,5.0,2.0,B00OJB4HIC,57.0
218,Take Mum Out,by Fiona Gibson - Import,4.5,8.0,1847563651,140.0
220,Falling For Rachel (Stanislaskis),by Nora Roberts,4.5,218.0,0263902145,228.0
221,"My Husband’s Lies: An unputdownable read, perfect for book group reading",by Caroline England - Import,2.5,2.0,0008260257,350.0
222,Pay the Devil,by Jack Higgins,4.2,41.0,0006514367,175.0
223,Taming Natasha: the classic story from the queen of romance that you won’t be...,by Nora Roberts,4.0,1.0,B007FP3I7A,251.0
224,Hidden Star (Stars of Mithra),by Nora Roberts,5.0,2.0,026392744X,255.0
225,The Bear Who Went Boo!,by David Walliams,5.0,2.0,000821588X,396.0
226,An Orphan in the Snow,by Molly Green - Import,4.4,89.0,0008238944,429.0
227,I Think You’ll Find it's a Bit More Complicated Than That,by Ben Goldacre,5.0,1.0,0007505140,459.0
229,Short U Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,5.0,1.0,B00OIREIKO,57.0
230,Paddington’s Suitcase (Paddington Bear),by Michael Bond,4.6,33.0,0007251947,819.0
231,The Little Village Christmas,by Sue Moorcroft - Import,5.0,1.0,000826001X,140.0
233,"The Gourmet's Guide To Rabbit Cooking, In One Hundred And Twenty-Four Dishes",by Georgiana Hill - Import,5.0,1.0,1446081249,2.0
234,A Hundred Years Of Bengali Press - Being A History Of The Bengali Newspapers...,by P.N . Bose - Import,,,1443722081,1.0
235,"The Bachelor: Racy, pacy and very funny! (Swell Valley Series, Book 3)",by Tilly Bagshawe,3.4,2.0,B017QYY04Y,202.0
236,Fools and Mortals,by Bernard Cornwell - Import,3.9,172.0,0007504152,213.0
237,The Magician's Nephew (Chronicles of Narnia Book 1),by C.S. Lewis,4.6,15.0,B001I45UF2,204.0
238,A Christmas Cracker,by Trisha Ashley,5.0,1.0,1847562809,129.0
239,How to Live Like Your Cat,by Stéphane Garnier - Import,5.0,1.0,0008276773,449.0
240,"Chinese Food Made Easy: 100 simple, healthy recipes from easy-to-find ingredients",by Ching-He Huang,3.5,7.0,0007264984,710.0
242,"You Are Here!, I Love You!, And This Is A Book!: A Read-Together Guide to 100...",by Our Wonderful World,,,B078YLG8D8,281.0
243,"Madam, Will You Talk? (Mary Stewart Modern Classic)",by Mary Stewart,4.6,147.0,1444711202,389.0
244,Here’s Looking At You,by Mhairi McFarlane - Import,4.0,76.0,0007488068,440.0
245,The Vogue Nation ABS Heart Type Reading Small Book Adjustable LED Light Portable...,by The Vogue Nation,,,B07DGVYXTN,230.0
246,Man's Search for Meaning,by Viktor E. Frankl,4.3,711.0,080701429X,1.0
247,Sight Words (100+ High-Frequency Illustrated Sight Words That are Key to Reading...,by Tanya Costa,,,B079DCD965,126.0
248,"Come, Tell Me How You Live: Memories from archaeological expeditions in the mysterious...",by Agatha Christie,4.1,5.0,000748724X,268.0
249,100 Successful College Application Essays: Third Edition,by The Harvard Independent,5.0,1.0,0451417615,584.0
250,All Hell Let Loos: The World at War 1939 - 1945,by Max Hastings,4.1,4.0,0007450729,599.0
252,Farmers' Union And Federation Advocate And Guide; One Hundred Reasons Why Farmers...,by William Henry Kerr - Import,,,1408669331,2.0
253,"Speed Reading: Learn to Read Faster, Increase Your Brain Power, Boost Productivity...",by Martin Bryers,4.5,8.0,B07G85S46S,71.0
254,Wounds: A Memoir of War and Love,by Fergal Keane - Import,5.0,1.0,0008189277,324.0
255,Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future...,by Satya Nadella - Import,4.5,204.0,0008260230,599.0
256,Being Elizabeth,by Barbara Taylor Bradford,3.6,92.0,0007197667,249.0
257,Everyone Worth Knowing,by Lauren Weisberger,3.0,3.0,0007182651,176.0
258,Short A Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,3.4,4.0,B00OJBWWTI,57.0
259,Another Man’s Child,by Anne Bennett - Import,4.5,2.0,0007359276,125.0
260,The Hundred Books: All the Stuff You're Supposed to Have Read,by Glyn Lloyd-hughes - Import,5.0,2.0,1463516487,1.0
262,The Accident,by C.L. Taylor,3.5,23.0,0007540035,307.0
263,Inspire Your Choir: 100 ideas to raise the bar,by Mark De-Lisser,,,1472927400,539.0
264,The Book Thief (Readers Circle),by Markus Zusak,4.5,237.0,0375842209,447.0
266,100 Things to Be When You Grow Up (100 Things To),by Lisa M. Gerry,3.0,1.0,1426327110,434.0
267,Unfinished Business: the classic story from the queen of romance that you won...,by Nora Roberts,4.6,2.0,B006LAOKLI,118.0
268,The Atlas of Us,by Tracy Buchanan,4.4,5.0,0007579357,192.0
269,Rhobos F2 Mobile Phone 3D Screen Magnifier and Wireless Twins Stereo Bluetooth...,by Rhobos,,,B07L5KVM51,689.0
270,A Place of Execution,by Val McDermid,4.4,226.0,000734466X,809.0
271,The Girl Who Wouldn’t Die: The first book in an addictive crime series that will...,by Marnie Riches - Import,3.0,1.0,0008271445,259.0
272,The Tale of the Pie and the Patty-Pan (Peter Rabbit),by Beatrix Potter,4.1,21.0,0723247862,225.0
273,6 Sight Word Readers in 1! The Cute Dog Collection - Reading Practice with 100%...,by Adele Jones,4.8,6.0,B00BVOURGQ,588.0
274,The Story of Miss Moppet (Peter Rabbit),by Beatrix Potter,4.1,48.0,0723247900,163.0
275,Pillow Talk,by Freya North,3.9,18.0,0007245920,188.0
276,Paddington’s Big Suitcase,by Michael Bond,4.0,2.0,000815452X,844.0
278,LeapFrog Scout and Violet 100 Words Book Bilingual (Amazon Exclusive),by LeapFrog,4.5,77.0,B07BPZNM9G,2.0
279,6 Sight Word Readers in 1! The Cute Dog Collection - Reading Practice with 100%...,by Adele Jones,4.8,6.0,B00BVOURGQ,588.0
280,"Make A Christmas Wish: A heartwarming, witty and magical festive treat!",by Julia Williams - Import,4.3,4.0,1847563597,398.0
281,Summer at the Cornish Café: The perfect summer romance for 2018  (The Cornish...,by Phillipa Ashley - Import,4.1,41.0,0008248303,588.0
282,The Help,by Kathryn Stockett,4.6,68.0,0425232204,1.0
283,Educational Insights Hot Dots Jr. Let's Master Kindergarten Reading Set with...,by Educational Insights,1.0,1.0,B00GFCHMIK,2.0
284,Nobody’s Girl,by Kitty Neale - Import,5.0,1.0,1847563481,190.0
286,This Rough Magic (Mary Stewart Modern Classics),by Mary Stewart,4.7,106.0,1444720503,495.0
287,The Ivy Tree,by Mary Stewart,1.0,1.0,1444720465,293.0
288,"Warner Brothers JK Rowling Fantastic Beasts, Newt Adult Comfy Throw Blanket with...",by Warner Brothers JK Rowling,4.0,253.0,B06ZZ22BPY,2.0
289,The Double Clue and Other Hercule Poirot Stories,by Agatha Christie,2.2,3.0,0008168695,218.0
290,War and Peace,by Leo Tolstoy,3.8,6.0,B0761JWCGW,67.0
291,Queen of the North,by Anne O'Brien - Import,5.0,1.0,0008225427,389.0
293,Mog’s Bad Thing,by Judith Kerr,4.8,4.0,0006647553,404.0
294,I’ll Teach My Dog 100 Words (Beginner Series),by Michael Frith,4.6,86.0,0007243588,287.0
295,Long I Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,5.0,2.0,B00OJB4HNC,57.0
296,Between You and Me,by Lisa Hall,3.6,3.0,0008194505,365.0
297,"HTML: Top 100 Simplified Tips & Tricks (Visual Read Less, Learn More)",by Paul Whitehead - Import,5.0,3.0,0764542117,1.0
299,"House Doctor Quick Fixes: Top 100 Ways to Add £££s, style and calm to your home",by Ann Maurice - Import,,,0007122403,344.0
300,Short E Sentences: Practice Reading Phonics Vowel Sounds with 100% Sight Words...,by Chris DiPaolo,3.0,2.0,B00OIQVRWM,57.0
301,Conspiracy (Giordano Bruno),by S.J. Parris,4.0,1.0,0007481276,299.0
302,Portnoy's Complaint (Vintage International),by Philip Roth,3.4,6.0,0679756450,942.0
303,Cute Art CNX Spirited Away Notebook A6 size with Hand Painted No face on handloom...,,,,B01MTNFMCJ,5.0
304,The Single Girl’s To-Do List,by Lindsey Kelk,5.0,3.0,0007345631,421.0
305,Accountancy Textbook Not-for-Profit Organisation and Partnership Accounts for...,by NCERT,4.2,11.0,8174506403,100.0
